"","SD_d_CD-CBM","SD_Rg_CD","SD_Rg_CBM","SD_Rg_Global","mean_d_CD-CBM","mean_Rg_CD","mean_Rg_CBM","mean_Rg_Global","SD_DSI","mean_DSI"
"DB129",1.11249377663943,0.0746124218085807,0.0609875010434044,0.285858721641932,49.79617775,21.73668645,12.54563285,27.9393831,1.10187024524545,15.51385845
"DB145",0.832843543777219,0.138424619701725,0.0796263047980873,0.288330197623195,56.6060159,21.78599145,12.5358971,29.7365,0.734941309746134,22.28412735
"DB306",1.13887891314171,0.0939517736223265,0.0550852545090759,0.282641321041559,49.68224675,21.74303855,12.51526945,27.87800175,1.16587022820636,15.42393875
"DB69",2.15203107378766,0.0773628360428817,0.0658025457912823,0.584983431998748,58.6787981,21.74346355,12.52487655,30.29694615,2.14363505445291,24.410458
"DB89",0.474678901443637,0.0766590556036469,0.0620356694395967,0.108384227632805,33.765542,21.6487544,12.62238885,24.3987578,0.493211022585503,-0.50560125
"Syn100",0.727836252868325,0.0616215845164392,0.0578194319552978,0.174890880866564,31.8632853,21.83969485,12.58901915,24.23750865,0.708161999033235,-2.5654287
"Syn180",0.321274638956405,0.0954277437286273,0.0652654710747368,0.110268851616202,31.9742405,21.914412,12.5968875,24.26459575,0.329713092279652,-2.537059
"Syn268",0.912056192331314,0.0897820257372021,0.0562834199222653,0.244664149176937,49.027018488529,21.8870149797571,12.5637236167341,27.9410464912281,0.906607763627731,14.5762798920378
"Syn41",1.18373254601948,0.0708176837135562,0.0768267927872984,0.305038081894069,36.7798357,21.5871831,12.57132575,25.0920253,1.22109963534259,2.62132685
"Syn576",1.01758586811075,0.0850228332744199,0.0548792688536436,0.199809223253735,37.7021353982301,21.8473484513274,12.6328833517699,25.3810876659292,1.06920877710352,3.22190359513274
